Уровень,Дата и время,Источник,Код события,Категория задачи
Сведения,03.12.2019 23:28:31,BTHUSB,18,Отсутствует,Система Windows не может сохранить коды проверки подлинности Bluetooth (ключи связи) на локальном адаптере. Клавиатуры Bluetooth могут не работать с BIOS компьютера во время загрузки.
Сведения,03.12.2019 23:28:30,Microsoft-Windows-Kernel-Power,130,(33),"Значения времени встроенного ПО для S3. SuspendStart: 0, SuspendEnd: 0"
Сведения,03.12.2019 23:28:30,Microsoft-Windows-Kernel-Power,131,(33),"Значения времени встроенного ПО для S3. ResumeCount: 5, FullResume: 468, AverageResume: 468"
Сведения,03.12.2019 23:28:29,Microsoft-Windows-Kernel-General,1,(5),"Системное время изменено с ‎2019‎-‎12‎-‎03T20:21:22.903825100Z на ‎2019‎-‎12‎-‎03T20:28:29.500000000Z.

Причина изменения: System time synchronized with the hardware clock.
Процесс: '' (ИД процесса 4)."
Сведения,03.12.2019 23:21:22,Microsoft-Windows-Kernel-Power,107,(102),Система возобновила работу после режима сна.
Сведения,03.12.2019 23:21:20,Microsoft-Windows-Kernel-Power,42,(64),"Система переходит в спящий режим.

Причина: Button or Lid"
Сведения,03.12.2019 23:21:19,Microsoft-Windows-Kernel-Power,105,(100),Смена источника питания.
Сведения,03.12.2019 23:21:20,BROWSER,8033,Отсутствует,"Драйвер браузера сети инициировал выборы в сети \Device\NetBT_Tcpip_{B3EC0A83-6DF2-4970-8219-EF7ED329EF6D}, так как был остановлен основной браузер сети."
Сведения,03.12.2019 23:21:07,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c} на {381b4222-f694-41f0-9685-ff5bb260df2e}
Сведения,03.12.2019 23:21:01,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {381b4222-f694-41f0-9685-ff5bb260df2e} на {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c}
Сведения,03.12.2019 23:20:52,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c} на {381b4222-f694-41f0-9685-ff5bb260df2e}
Сведения,03.12.2019 23:20:47,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {381b4222-f694-41f0-9685-ff5bb260df2e} на {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c}
Сведения,03.12.2019 23:11:24,Microsoft-Windows-UserModePowerService,12,(10),Процесс C:\Program Files\AVAST Software\Avast\AvastSvc.exe (ИД процесса: 9296) изменил схему политики с {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c} на {381b4222-f694-41f0-9685-ff5bb260df2e}
Предупреждение,03.12.2019 22:52:38,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени 90bccff96f8b4a4da27dae311fa45db6.fp.measure.office.com истекло после отсутствия ответа от настроенных серверов DNS.
Сведения,03.12.2019 22:49:51,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,03.12.2019 22:47:47,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
